zona;votos UP;ocupacao UP
26;75.0;0.2809917355371901
31;49.0;0.15517241379310345
332;45.0;0.1532567049808429
33;44.0;0.20634920634920634
34;43.0;0.13898305084745763
29;39.0;0.13438735177865613
32;39.0;0.14624505928853754
334;38.0;0.11180124223602485
39;37.0;0.11494252873563218
35;36.0;0.1079136690647482
333;28.0;0.07886435331230283
27;25.0;0.09734513274336283
36;25.0;0.10762331838565023
30;24.0;0.08914728682170543
28;22.0;0.08943089430894309
37;22.0;0.0958904109589041
38;20.0;0.07142857142857142
331;10.0;0.04032258064516129
