zona;votos ADRIEL DO MLB;votos EDNA DA IZIDORA;votos INDIRA XAVIER;votos MARI FERNANDES;votos UP;votos no partido;ocupacao real do partido;ocupacao ADRIEL DO MLB;ocupacao EDNA DA IZIDORA;ocupacao INDIRA XAVIER;ocupacao MARI FERNANDES;ocupacao UP;ocupacao EDNA + ADRIEL;ocupacao EDNA + MARI;ocupacao EDNA + UP;ocupacao ADRIEL + MARI;ocupacao ADRIEL + UP;ocupacao MARI + UP;ocupacao EDNA + ADRIEL + MARI;ocupacao EDNA + ADRIEL + MARI + UP;ocupacao INDIRA + ADRIEL;ocupacao INDIRA + EDNA;ocupacao INDIRA + MARI;ocupacao INDIRA + UP
26;22.0;34.0;163.0;197.0;75.0;491.0;0.7933884297520661;0.09090909090909091;0.12396694214876033;0.47520661157024796;0.5454545454545454;0.2809917355371901;0.012396694214876033;0.09917355371900827;0.0371900826446281;0.045454545454545456;0.0371900826446281;0.15289256198347106;0.008264462809917356;0.0;0.06198347107438017;0.10743801652892562;0.3140495867768595;0.17355371900826447
27;16.0;28.0;104.0;92.0;25.0;265.0;0.588495575221239;0.06637168141592921;0.09734513274336283;0.36283185840707965;0.3008849557522124;0.09734513274336283;0.0;0.035398230088495575;0.01327433628318584;0.022123893805309734;0.0;0.02654867256637168;0.0;0.0;0.02654867256637168;0.05309734513274336;0.1592920353982301;0.06637168141592921
28;6.0;11.0;85.0;116.0;22.0;240.0;0.5121951219512195;0.024390243902439025;0.04065040650406504;0.27235772357723576;0.3333333333333333;0.08943089430894309;0.008130081300813009;0.02032520325203252;0.0;0.0040650406504065045;0.0;0.028455284552845527;0.0040650406504065045;0.0;0.016260162601626018;0.02032520325203252;0.15040650406504066;0.032520325203252036
29;22.0;15.0;135.0;148.0;39.0;359.0;0.6324110671936759;0.08695652173913043;0.05928853754940711;0.391304347826087;0.42292490118577075;0.13438735177865613;0.003952569169960474;0.019762845849802372;0.011857707509881422;0.039525691699604744;0.007905138339920948;0.05533596837944664;0.0;0.0;0.05138339920948617;0.04743083003952569;0.2450592885375494;0.07905138339920949
30;10.0;12.0;108.0;107.0;24.0;261.0;0.5542635658914729;0.03875968992248062;0.03875968992248062;0.34108527131782945;0.3372093023255814;0.08914728682170543;0.0;0.0;0.0;0.015503875968992248;0.011627906976744186;0.046511627906976744;0.0;0.0;0.027131782945736434;0.015503875968992248;0.16666666666666666;0.05813953488372093
31;33.0;33.0;202.0;176.0;49.0;493.0;0.6482758620689655;0.09655172413793103;0.10344827586206896;0.4413793103448276;0.38275862068965516;0.15517241379310345;0.010344827586206896;0.04482758620689655;0.017241379310344827;0.04827586206896552;0.013793103448275862;0.06206896551724138;0.0034482758620689655;0.0034482758620689655;0.06551724137931035;0.07241379310344828;0.25517241379310346;0.10689655172413794
32;20.0;32.0;165.0;157.0;39.0;413.0;0.691699604743083;0.07509881422924901;0.11462450592885376;0.45849802371541504;0.4505928853754941;0.14624505928853754;0.011857707509881422;0.07114624505928854;0.019762845849802372;0.03162055335968379;0.011857707509881422;0.07509881422924901;0.003952569169960474;0.0;0.043478260869565216;0.09090909090909091;0.2648221343873518;0.11067193675889328
33;29.0;18.0;155.0;146.0;44.0;392.0;0.7619047619047619;0.14285714285714285;0.08994708994708994;0.5026455026455027;0.5238095238095238;0.20634920634920634;0.021164021164021163;0.037037037037037035;0.021164021164021163;0.09523809523809523;0.037037037037037035;0.08994708994708994;0.010582010582010581;0.0;0.1111111111111111;0.05291005291005291;0.3544973544973545;0.13227513227513227
331;10.0;77.0;131.0;72.0;10.0;300.0;0.5362903225806451;0.04032258064516129;0.20161290322580644;0.34274193548387094;0.23790322580645162;0.04032258064516129;0.0;0.05241935483870968;0.016129032258064516;0.004032258064516129;0.004032258064516129;0.020161290322580645;0.0;0.0;0.020161290322580645;0.12903225806451613;0.125;0.020161290322580645
332;34.0;13.0;143.0;149.0;45.0;384.0;0.6436781609195402;0.1111111111111111;0.04980842911877394;0.40229885057471265;0.3946360153256705;0.1532567049808429;0.0;0.022988505747126436;0.01532567049808429;0.04980842911877394;0.019157088122605363;0.06513409961685823;0.0;0.0;0.07279693486590039;0.03065134099616858;0.23754789272030652;0.09195402298850575
