zona;partido;nome;votos;soma de votos na zona;votos_total
26;#BRANCO#;Branco;7.0;2546.0;72385.0
26;REPUBLICANOS;MAURO TRAMONTE;17.0;5099.0;72385.0
26;PODE;CARLOS VIANA;4.0;490.0;72385.0
26;PL;BRUNO ENGLER;89.0;23267.0;72385.0
26;PDT;DUDA SALABERT;20.0;7260.0;72385.0
26;UP;INDIRA XAVIER;1.0;166.0;72385.0
26;#NULO#;Nulo;18.0;2960.0;72385.0
26;MDB;GABRIEL;25.0;7989.0;72385.0
26;PT;ROGERIO CORREIA;16.0;3382.0;72385.0
26;PSD;FUAD NOMAN;79.0;19175.0;72385.0
26;#BRANCO#;Branco;15.0;2546.0;72385.0
26;#NULO#;Nulo;11.0;2960.0;72385.0
26;REPUBLICANOS;MAURO TRAMONTE;14.0;5099.0;72385.0
26;PL;BRUNO ENGLER;89.0;23267.0;72385.0
26;PSD;FUAD NOMAN;73.0;19175.0;72385.0
26;PT;ROGERIO CORREIA;11.0;3382.0;72385.0
26;MDB;GABRIEL;34.0;7989.0;72385.0
26;PDT;DUDA SALABERT;32.0;7260.0;72385.0
26;#BRANCO#;Branco;11.0;2546.0;72385.0
26;REPUBLICANOS;MAURO TRAMONTE;17.0;5099.0;72385.0
26;PODE;CARLOS VIANA;1.0;490.0;72385.0
26;PL;BRUNO ENGLER;90.0;23267.0;72385.0
26;PDT;DUDA SALABERT;30.0;7260.0;72385.0
26;UP;INDIRA XAVIER;2.0;166.0;72385.0
26;#NULO#;Nulo;12.0;2960.0;72385.0
26;MDB;GABRIEL;33.0;7989.0;72385.0
26;PT;ROGERIO CORREIA;23.0;3382.0;72385.0
26;PSD;FUAD NOMAN;57.0;19175.0;72385.0
26;#BRANCO#;Branco;13.0;2546.0;72385.0
26;REPUBLICANOS;MAURO TRAMONTE;18.0;5099.0;72385.0
26;PT;ROGERIO CORREIA;23.0;3382.0;72385.0
26;UP;INDIRA XAVIER;1.0;166.0;72385.0
26;PSD;FUAD NOMAN;79.0;19175.0;72385.0
26;PDT;DUDA SALABERT;39.0;7260.0;72385.0
26;MDB;GABRIEL;29.0;7989.0;72385.0
26;#NULO#;Nulo;14.0;2960.0;72385.0
26;PCO;LOURDES FRANCISCO;1.0;16.0;72385.0
26;PODE;CARLOS VIANA;1.0;490.0;72385.0
26;PL;BRUNO ENGLER;75.0;23267.0;72385.0
26;#BRANCO#;Branco;11.0;2546.0;72385.0
