zona;partido;votos para prefeito;votos para vereador;máximo de votos;votos para prefeito por votos para vereador
334;REPUBLICANOS;16049.0;5097.0;41.0;0.32
332;REPUBLICANOS;10850.0;4941.0;41.0;0.46
39;REPUBLICANOS;11721.0;3868.0;41.0;0.33
30;REPUBLICANOS;7705.0;3443.0;41.0;0.45
26;REPUBLICANOS;5099.0;2588.0;41.0;0.51
28;REPUBLICANOS;11253.0;3778.0;41.0;0.34
37;REPUBLICANOS;9971.0;4690.0;41.0;0.47
29;REPUBLICANOS;11364.0;4325.0;41.0;0.38
27;REPUBLICANOS;9931.0;3093.0;41.0;0.31
34;REPUBLICANOS;6311.0;2414.0;41.0;0.38
35;REPUBLICANOS;9583.0;2907.0;41.0;0.3
333;REPUBLICANOS;21355.0;7404.0;41.0;0.35
33;REPUBLICANOS;2819.0;1620.0;41.0;0.57
38;REPUBLICANOS;13714.0;3656.0;41.0;0.27
331;REPUBLICANOS;13824.0;3728.0;41.0;0.27
36;REPUBLICANOS;11022.0;3645.0;41.0;0.33
32;REPUBLICANOS;8515.0;3446.0;41.0;0.4
31;REPUBLICANOS;12121.0;6099.0;41.0;0.5
334;PSD;23326.0;3863.0;43.0;0.17
332;PSD;19677.0;4000.0;43.0;0.2
39;PSD;20791.0;4147.0;43.0;0.2
30;PSD;17139.0;7580.0;43.0;0.44
26;PSD;19175.0;3997.0;43.0;0.21
28;PSD;18995.0;3563.0;43.0;0.19
37;PSD;15954.0;7942.0;43.0;0.5
29;PSD;17529.0;3614.0;43.0;0.21
27;PSD;17740.0;3732.0;43.0;0.21
34;PSD;19367.0;7709.0;43.0;0.4
35;PSD;18663.0;4615.0;43.0;0.25
333;PSD;24459.0;12545.0;43.0;0.51
33;PSD;12215.0;2739.0;43.0;0.22
38;PSD;18590.0;3404.0;43.0;0.18
331;PSD;20606.0;3327.0;43.0;0.16
36;PSD;13707.0;5312.0;43.0;0.39
32;PSD;20348.0;6751.0;43.0;0.33
31;PSD;18757.0;3271.0;43.0;0.17
334;#BRANCO#;;;0.0;
332;#BRANCO#;;;0.0;
39;#BRANCO#;;;0.0;
30;#BRANCO#;;;0.0;
26;#BRANCO#;;;0.0;
28;#BRANCO#;;;0.0;
37;#BRANCO#;;;0.0;
29;#BRANCO#;;;0.0;
27;#BRANCO#;;;0.0;
34;#BRANCO#;;;0.0;
35;#BRANCO#;;;0.0;
333;#BRANCO#;;;0.0;
33;#BRANCO#;;;0.0;
38;#BRANCO#;;;0.0;
331;#BRANCO#;;;0.0;
36;#BRANCO#;;;0.0;
32;#BRANCO#;;;0.0;
31;#BRANCO#;;;0.0;
334;PCO;19.0;19.0;3.0;1.0
332;PCO;10.0;17.0;3.0;1.7
39;PCO;9.0;11.0;3.0;1.22
30;PCO;16.0;22.0;3.0;1.38
26;PCO;16.0;30.0;3.0;1.88
28;PCO;9.0;27.0;3.0;3.0
37;PCO;10.0;7.0;3.0;0.7
29;PCO;16.0;25.0;3.0;1.56
27;PCO;10.0;9.0;3.0;0.9
34;PCO;13.0;16.0;3.0;1.23
35;PCO;14.0;12.0;3.0;0.86
333;PCO;11.0;16.0;3.0;1.45
33;PCO;12.0;12.0;3.0;1.0
38;PCO;13.0;8.0;3.0;0.62
331;PCO;4.0;9.0;3.0;2.25
36;PCO;15.0;8.0;3.0;0.53
32;PCO;13.0;15.0;3.0;1.15
31;PCO;21.0;17.0;3.0;0.81
334;PSTU;69.0;151.0;9.0;2.19
332;PSTU;38.0;134.0;9.0;3.53
39;PSTU;40.0;101.0;9.0;2.52
30;PSTU;25.0;107.0;9.0;4.28
26;PSTU;35.0;161.0;9.0;4.6
