partido;zona;votos;percentual
#NULO#;333;134864.0;0.03195542390861105
#NULO#;334;132654.0;0.03143177425534532
#NULO#;31;110596.0;0.026205229435555432
#NULO#;332;105639.0;0.025030690371646718
#NULO#;39;103684.0;0.024567461832219334
#NULO#;38;102084.0;0.02418834896107672
#NULO#;29;99416.0;0.023556178248446406
#NULO#;331;95385.0;0.02260105075871148
#NULO#;35;95181.0;0.022552713867640798
#NULO#;32;94435.0;0.022375952491470553
#NULO#;34;92975.0;0.022030011996552915
#NULO#;28;91290.0;0.021630758754130848
#NULO#;27;87099.0;0.02063771997728166
#NULO#;26;86829.0;0.020573744680276344
#NULO#;37;83577.0;0.01980319776967898
#NULO#;30;83226.0;0.019720029883572066
#NULO#;36;82966.0;0.01965842404201139
#NULO#;33;58143.0;0.013776724791778178
PL;334;46801.0;0.011089288426465964
PL;34;41293.0;0.009784192367557511
PL;332;40060.0;0.009492038511233232
PL;31;38966.0;0.009232820085589469
PSD;333;37004.0;0.008767932927350838
PL;39;35657.0;0.008448767278957648
PL;333;34945.0;0.008280062051299185
PL;32;33441.0;0.007923695952425126
PL;38;33393.0;0.007912322566290847
PL;35;32719.0;0.007752621269322021
PL;26;32712.0;0.007750962650510771
PL;29;32362.0;0.007668031709948325
PL;27;29419.0;0.006970700972590376
PL;331;29118.0;0.006899380363706672
REPUBLICANOS;333;28759.0;0.006814316913244047
PL;30;28688.0;0.006797493779587094
PSD;334;27189.0;0.006442312408435356
PSD;32;27099.0;0.006420987309433584
PSD;34;27076.0;0.006415537561910909
PL;37;26763.0;0.006341373606493635
PL;36;26664.0;0.006317915997591686
PL;33;26064.0;0.006175748670913204
PL;28;25296.0;0.0059937744927647495
PSD;39;24938.0;0.005908947987846589
PSD;30;24719.0;0.005857056913608944
PSD;331;23933.0;0.0056708177156601335
PSD;37;23896.0;0.005662050730514961
PSD;332;23677.0;0.0056101596562773155
PSD;35;23278.0;0.005515618384036126
PSD;26;23172.0;0.005490502156322927
PSD;28;22558.0;0.0053450175920219485
PSD;31;22028.0;0.005219436453455958
PSD;38;21994.0;0.0052113803049441765
PSD;27;21472.0;0.005087694730733898
