,id,nome,area,zona,cor_por_zona
0,455,Vila Santo Antônio Barroquinha,0.033,31,50
1,169,São Salvador,0.592,29,30
2,432,Vila Nova Cachoeirinha II,0.007,30,40
3,47,Coqueiros,0.677,29,30
4,8,Graça,0.425,26,0
5,422,Vila Jardim Montanhês,0.034,31,50
6,295,Canadá,0.092,32,60
7,7,Aparecida,0.915,30,40
8,121,Padre Eustáquio,2.973,29,30
9,196,Aparecida Sétima Seção,0.489,30,40
10,157,São Cristóvão,0.316,32,60
11,33,Casa Branca,0.668,28,20
12,384,Vila Tiradentes,0.045,32,60
13,475,Novo Glória,0.708,29,30
14,21,Caetano Furquim,0.024,28,20
15,128,Pindorama,1.611,29,30
16,443,Vila Paraíso,0.018,35,90
17,141,Santa Efigênia,2.148,35,90
18,51,Dom Bosco,1.118,29,30
19,150,Santa Tereza,1.556,26,0
20,37,Centro,2.02,33,70
21,94,Lagoinha,0.555,30,40
22,22,Caiçara-Adelaide,0.779,30,40
23,381,Senhor dos Passos,0.125,30,40
24,41,Colégio Batista,0.777,26,0
25,217,Savassi,1.186,33,70
26,172,Serra,1.53,35,90
27,279,Barão Homem de Melo I,0.005,332,150
28,4,Alto dos Pinheiros,0.41,37,110
29,468,Vila Trinta e Um de Março,0.056,29,30
30,643,Novo Lajedo,0.397,39,130
31,52,Dom Cabral,0.538,29,30
32,49,Coração Eucarístico,1.039,29,30
33,448,Vila PUC,0.004,29,30
34,478,Cidade Jardim Taquaril,2.083,35,90
35,469,Vila União,0.014,35,90
36,43,Conjunto Califórnia II,0.109,29,30
37,411,Vila do Pombal,0.004,32,60
38,458,Vila São Geraldo,0.004,28,20
39,208,Confisco,0.276,31,50
40,290,Boa União I,0.007,331,140
41,211,Suzana,0.451,32,60
42,160,São Geraldo,1.325,28,20
43,111,Nova Esperança,0.443,30,40
44,401,Vila Boa Vista,0.028,28,20
45,413,Vila Engenho Nogueira,0.016,31,50
46,644,Tiradentes,0.677,331,140
47,645,Montes Claros,0.69,331,140
48,646,Jardim Liberdade,0.533,333,160
49,258,Alto Vera Cruz,0.874,28,20
50,257,Granja de Freitas,0.862,28,20
51,186,Vera Cruz,0.448,28,20
52,647,Vila Horto Florestal,0.005,26,0
53,648,Vila Trevo,0.014,31,50
54,379,São Vicente,0.015,26,0
55,126,Paraíso,1.34,35,90
56,56,Engenho Nogueira,1.991,31,50
57,305,Conjunto Floramar,0.024,39,130
58,360,Novo Tupi,0.312,39,130
59,365,São Francisco das Chagas,0.028,30,40
60,392,Vila Aeroporto,0.076,32,60
61,159,São Gabriel,1.997,331,140
62,108,Minaslândia,0.792,331,140
63,639,Vila Nova Cintra,0.006,37,110
64,640,Jardim Getsemani,0.36,27,10
65,1,Aarão Reis,0.353,331,140
66,215,Ipê,0.488,27,10
67,129,Pirajá,0.252,27,10
68,125,Paquetá,1.456,31,50
69,307,Conjunto Lagoa,0.073,31,50
70,42,Concórdia,0.915,32,60
71,28,Campus UFMG,3.85,31,50
72,35,São José,0.308,31,50
73,472,Vitória,0.408,27,10
74,325,Guanabara,0.002,27,10
75,73,Guarani,0.73,331,140
76,404,Vila Copacabana,0.024,334,170
77,256,Beija Flor,0.927,331,140
78,204,Jardim Vitória,5.419,27,10
79,77,Heliópolis,0.658,39,130
80,131,Pompéia,0.591,28,20
81,5,Álvaro Camargos,0.206,29,30
82,267,Acaiaca,0.382,331,140
83,247,Novo Aarão Reis,0.552,331,140
84,346,Mariquinhas,0.146,39,130
85,156,São Bernardo,0.944,32,60
86,203,Aeroporto,2.33,32,60
87,253,Ouro Minas,0.525,331,140
88,85,Jaraguá,0.505,32,60
89,54,Dom Silvério,0.503,331,140
90,310,Conjunto Providência,0.014,331,140
91,385,Três Marias,0.036,331,140
92,88,Jardim Montanhês,0.597,30,40
93,78,Horto,0.384,26,0
94,17,Bonfim,0.879,30,40
95,306,Conjunto Jardim Filadélfia,0.105,29,30
96,31,Carlos Prates,1.769,30,40
97,25,Califórnia,3.414,29,30
98,429,Vila Nossa Senhora do Rosário,0.024,28,20
99,331,João Alfredo,0.018,26,0
100,188,Vila Clóris,0.875,39,130
101,483,Jardim Leblon,0.74,334,170
102,412,Vila dos Anjos,0.031,334,170
103,136,Ribeiro de Abreu,2.137,331,140
104,259,Tupi B,1.307,39,130
105,182,Garças,1.25,31,50
106,83,Itapoã,1.629,39,130
107,115,Nova Pampulha,0.039,31,50
108,348,Mirante,0.013,39,130
109,139,Santa Amélia,2.215,334,170
110,201,Copacabana,1.442,334,170
111,27,Campo Alegre,0.217,39,130
112,311,Conjunto São Francisco de Assis,0.014,31,50
113,170,São Tomáz,0.185,32,60
114,255,Nazaré,0.784,331,140
115,55,Dona Clara,0.791,32,60
116,641,Vila Verde,0.008,38,120
117,642,Cristo Rei,0.01,332,150
118,393,Vila Aeroporto Jaraguá,0.01,32,60
119,187,Goiânia,1.952,27,10
120,318,Vila Esplanada,0.035,331,140
121,287,Biquinhas,0.062,39,130
122,254,Belmonte,0.483,331,140
123,349,Mirtes,0.013,27,10
124,398,Vila Átila de Paiva,0.046,36,100
125,451,Vila Rica,0.029,32,60
126,426,Vila Mantiqueira,0.027,38,120
127,185,Venda Nova,0.768,38,120
128,367,Vila Piratininga Venda Nova,0.009,334,170
129,74,Juliana,0.896,39,130
130,65,Xodó-Marize,0.493,39,130
131,193,Rio Branco,1.339,334,170
132,336,Madri,0.147,39,130
133,363,Parque São Pedro,0.403,38,120
134,38,Céu Azul,2.748,334,170
135,148,Santa Mônica,2.192,334,170
136,161,São João Batista,1.852,38,120
137,81,Monte Azul,0.588,39,130
138,209,Paulo VI,1.285,331,140
139,45,Braúnas,2.003,31,50
140,36,São Luíz,2.766,31,50
141,427,Vila Maria,0.123,27,10
142,462,Vila Satélite,0.013,38,120
143,342,Maria Teresa,0.893,331,140
144,210,Capitão Eduardo,3.412,331,140
145,332,Lajedo,0.515,39,130
146,312,Conjunto Serra Verde,0.015,38,120
147,213,Nova América,0.007,38,120
148,181,Tupi A,0.912,39,130
